,accuracy,accuracy_diff,accuracy_ratio,balanced_accuracy,balanced_accuracy_diff,balanced_accuracy_ratio,brier_score_loss,ece,ece_quantile,equalized_odds_diff,equalized_odds_ratio,fnr,fnr_diff,fnr_ratio,fpr,fpr_diff,fpr_ratio,log_loss,model_name,n_negatives,n_positives,n_samples,ppr,ppr_diff,ppr_ratio,precision,precision_diff,precision_ratio,predictions_path,roc_auc,threshold,tnr,tnr_diff,tnr_ratio,tpr,tpr_diff,tpr_ratio,config_batch_size,config_chat_prompt,config_context_size,config_correct_order_bias,config_dataset_hash,config_dataset_name,config_direct_risk_prompting,config_feature_subset,config_few_shot,config_model_hash,config_model_name,config_population_filter,config_reuse_few_shot_examples,config_seed,config_task_hash,config_task_name,base_name,name,is_inst,num_features,uses_all_features,fit_thresh_on_100,fit_thresh_accuracy,optimal_thresh,optimal_thresh_accuracy,score_stdev,score_mean
gemma-2b__ACSEmployment__-1,0.5436496287209026,0.21432117999620443,0.6987918551404695,0.5117963533101758,0.16709292155456001,0.7480021386311311,0.2418942362247625,0.01505446322424475,0.11164881121277109,0.521640435835351,0.11575852623803609,0.8303121166689382,0.521640435835351,0.4510272336359293,0.14609517671071007,0.2623201306945728,0.11575852623803609,0.6767778160481747,google--gemma-2b,176871,146740,323611,0.1567931868817809,0.3034870767568714,0.11991879702083719,0.49073709105242413,0.1286011801457827,0.7646872022864402,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-google--gemma-2b_task-ACSEmployment/google--gemma-2b_bench-3258115664/ACSEmployment_full_seed-42_hash-1409875427.test_predictions.csv,0.6281481137741516,0.5,0.85390482328929,0.26232013069457283,0.728351159490453,0.16968788333106175,0.521640435835351,0.0871292372881356,20,False,600,False,1409875427,ACSEmployment_full_seed-42_hash-1409875427,False,full,,4226443452,gemma-2b,,False,42,1212564561,ACSEmployment,gemma-2b,Gemma 2B,False,-1,True,0.4686417853020392,0.6125409828466893,0.4533687354795884,0.6135823565948005,0.025263552357014923,0.4685001124760096
Meta-Llama-3-70B__ACSPublicCoverage__-1,0.6334765305853517,0.22344350499615684,0.6911389715257118,0.6200308146972651,0.12459486166007894,0.8024441833137487,0.22427044976088498,0.18163478966832927,,0.5076028084252758,0.20687061183550653,0.41332312855082276,0.45207735384392517,0.39670098521267233,0.346615242054647,0.5076028084252758,0.20687061183550653,0.640805330425846,meta-llama--Meta-Llama-3-70B,79858,33971,113829,0.41825896739846613,0.48580258775301055,0.24778954154372565,0.41860953581180427,0.22067578439259855,0.6163636363636363,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-meta-llama--Meta-Llama-3-70B_task-ACSPublicCoverage/meta-llama--Meta-Llama-3-70B_bench-3118385844/ACSPublicCoverage_full_seed-42_hash-3076626711.test_predictions.csv,0.6677864535387055,0.5,0.653384757945353,0.5076028084252758,0.41493641618497107,0.5866768714491772,0.4520773538439251,0.3566889454358049,20,False,600,False,3076626711,ACSPublicCoverage_full_seed-42_hash-3076626711,False,full,,1669762367,Meta-Llama-3-70B,,False,42,1163226111,ACSPublicCoverage,Meta-Llama-3-70B,Llama 3 70B,False,-1,True,0.4378176889190105,0.5028156269491957,0.5310393756651295,0.7123931511302041,0.07258095014706398,0.46777522168169405
Mixtral-8x22B-v0.1__ACSIncome__-1,0.680967257434665,0.1645342684420532,0.8004711508631245,0.569328164440739,0.17666448955035685,0.7389186335642494,0.18737725302142044,0.16437664171075295,0.1638113084408452,0.38950276243093923,0.0,0.853151078666732,0.3895027624309392,0.6104972375690608,0.00819259245179011,0.03617378333022562,0.0,0.5529702278585888,mistralai--Mixtral-8x22B-v0.1,105217,61233,166450,0.05920096124962451,0.19429277840733492,0.0,0.9125228333671606,1.0,0.0,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-mistralai--Mixtral-8x22B-v0.1_task-ACSIncome/mistralai--Mixtral-8x22B-v0.1_bench-1175888282/ACSIncome_full_seed-42_hash-792730230.test_predictions.csv,0.8523456206810548,0.5,0.9918074075482098,0.036173783330225584,0.9638262166697744,0.14684892133326802,0.38950276243093923,0.0,20,False,600,False,792730230,ACSIncome_full_seed-42_hash-792730230,False,full,,1392911801,Mixtral-8x22B-v0.1,,False,42,2612382143,ACSIncome,Mixtral-8x22B-v0.1,Mixtral 8x22B,False,-1,True,0.3486195601310248,0.7773385401021328,0.3209161842436446,0.7742745569240012,0.10285230525376834,0.3135273133170249
Mistral-7B-Instruct-v0.2__ACSTravelTime__-1,0.5687723724133229,0.33724349758201533,0.606549252820982,0.5133107047335999,0.0469491111021797,0.910903899232357,0.41657814037930785,0.40953698035262204,0.38570860946178237,0.12140287769784172,0.4796252506120844,0.936221513572373,0.12140287769784175,0.8785971223021583,0.03715707696042729,0.035127718184938435,0.4796252506120844,3.5968287880193768,mistralai--Mistral-7B-Instruct-v0.2,82380,64285,146665,0.04882555483585041,0.059207946673637435,0.37624784853700516,0.5725457338360564,0.6506024096385542,0.0,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-mistralai--Mistral-7B-Instruct-v0.2_task-ACSTravelTime/mistralai--Mistral-7B-Instruct-v0.2_bench-674225505/ACSTravelTime_full_seed-42_hash-3319501691.test_predictions.csv,0.5931226121281847,0.5,0.9628429230395728,0.03512771818493843,0.963696898576156,0.06377848642762697,0.12140287769784172,0.0,20,False,600,False,3319501691,ACSTravelTime_full_seed-42_hash-3319501691,False,full,,3478655983,Mistral-7B-Instruct-v0.2,,False,42,233993660,ACSTravelTime,Mistral-7B-v0.1,Mistral 7B (it),True,-1,True,2.587379208677848e-05,0.5309105785293015,3.32379183490593e-05,0.5394947669859885,0.18565885171851879,0.05260318953593328
gemma-2-27b-it__ACSPublicCoverage__-1,0.6255084380957401,0.1499420263421879,0.7722687645678421,0.5203911280561323,0.055705452957774904,0.8968084075292105,0.28753561305676806,0.24343060769180547,0.2423210690308342,0.17302631578947367,0.6439024390243903,0.740366783432928,0.1730263157894737,0.784955028618152,0.2188509604548073,0.1106060606060606,0.6439024390243903,0.9881622593665179,google--gemma-2-27b-it,79858,33971,113829,0.23102197155382195,0.11255571175141674,0.6389981440167976,0.3353994752253109,0.2946428571428572,0.43749999999999994,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-google--gemma-2-27b-it_task-ACSPublicCoverage/google--gemma-2-27b-it_bench-2499287608/ACSPublicCoverage_full_seed-42_hash-3076626711.test_predictions.csv,0.5380516396778549,0.5,0.7811490395451928,0.1106060606060606,0.8617424242424243,0.2596332165670719,0.17302631578947367,0.5303571428571429,20,False,600,False,3076626711,ACSPublicCoverage_full_seed-42_hash-3076626711,False,full,,2079576118,gemma-2-27b-it,,False,42,1163226111,ACSPublicCoverage,gemma-2-27b,Gemma 2 27B (it),True,-1,True,0.2337287592176979,0.5709880610389269,0.1329420770604746,0.5285384216675891,0.3045129545769314,0.2697472364289219
gemma-2-9b__ACSMobility__-1,0.29036621895835346,0.12247492364696216,0.6019148400100781,0.5048443561524297,0.02928863538527765,0.9438634488448845,0.2900405407575053,0.3103575838827357,0.3103575838827355,0.050445409171728475,0.0,0.9512136347704171,0.05044540917172846,0.9490501367365543,0.039097652924723336,0.049413735343383586,0.0,0.7743558533689832,google--gemma-2-9b,16446,45648,62094,0.04622024672271073,0.046307121601239246,0.1937599364069952,0.7759581881533101,0.5,0.5,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-google--gemma-2-9b_task-ACSMobility/google--gemma-2-9b_bench-4114782465/ACSMobility_full_seed-42_hash-1539435113.test_predictions.csv,0.5419957556662195,0.5,0.9609023470752767,0.04941373534338356,0.9505862646566164,0.04878636522958289,0.050445409171728475,0.16406927701833626,20,False,600,False,1539435113,ACSMobility_full_seed-42_hash-1539435113,False,full,,1736046680,gemma-2-9b,,False,42,2387644647,ACSMobility,gemma-2-9b,Gemma 2 9B,False,-1,True,0.4378874856486797,0.3963829033400973,0.4072245905317478,0.6823525622443393,0.03589981558768992,0.4247859082421074
gemma-2-9b-it__ACSIncome__-1,0.780030039050766,0.09645948714417052,0.8886611238814628,0.7538127817291476,0.2493726872100982,0.6883853022917261,0.20317676184959776,0.19471530729362502,0.17909722882504675,0.6945076373090673,0.07500174812950143,0.34540198912351183,0.6945076373090673,0.2128913443830571,0.14697244741819288,0.19576226288887114,0.07500174812950143,0.9876164906189212,google--gemma-2-9b-it,105217,61233,166450,0.3337158305797537,0.44287498712269496,0.07806401458288656,0.7216051271895872,0.15627705627705635,0.7961603613777526,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-google--gemma-2-9b-it_task-ACSIncome/google--gemma-2-9b-it_bench-1658848718/ACSIncome_full_seed-42_hash-792730230.test_predictions.csv,0.8440464274412477,0.5,0.8530275525818071,0.1957622628888711,0.8010802812580826,0.6545980108764882,0.6945076373090673,0.1448579431772709,20,False,600,False,792730230,ACSIncome_full_seed-42_hash-792730230,False,full,,1416490676,gemma-2-9b-it,,False,42,2612382143,ACSIncome,gemma-2-9b,Gemma 2 9B (it),True,-1,True,0.0851419031719532,0.7778371883448483,0.0075746456763258,0.7618924601982577,0.44779558236877265,0.3281401320902049
Mixtral-8x7B-v0.1__ACSIncome__-1,0.6458335836587564,0.23339683160991465,0.7161486597553626,0.5193061924732204,0.04196904147911312,0.9224862476797074,0.20552974689638495,0.17082238708454442,0.1819258017559883,0.08977900552486189,0.0,0.9595152940407949,0.08977900552486184,0.9102209944751382,0.001872321012764097,0.006899123624836845,0.0,0.5992171894090783,mistralai--Mixtral-8x7B-v0.1,105217,61233,166450,0.01607689996996095,0.04398887400844751,0.0,0.9263826606875935,1.0,0.0,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-mistralai--Mixtral-8x7B-v0.1_task-ACSIncome/mistralai--Mixtral-8x7B-v0.1_bench-2020479040/ACSIncome_full_seed-42_hash-792730230.test_predictions.csv,0.8260889083677475,0.5,0.9981276789872359,0.0068991236248368,0.9931008763751632,0.040484705959205,0.08977900552486189,0.0,20,False,600,False,792730230,ACSIncome_full_seed-42_hash-792730230,False,full,,2562927001,Mixtral-8x7B-v0.1,,False,42,2612382143,ACSIncome,Mixtral-8x7B-v0.1,Mixtral 8x7B,False,-1,True,0.3774954627949183,0.7436167017122259,0.3773470623864324,0.7356443376389306,0.05737411079032564,0.36263498485546225
gemma-2-27b__ACSPublicCoverage__-1,0.3814054414955767,0.12387476456747892,0.7369919909507335,0.5046647966016456,0.1286969370648196,0.7738714385157672,0.4328827749428081,0.4260985946191743,0.42539799411130796,0.13668449197860966,0.49521531100478466,0.1895734597156398,0.12070938215102976,0.49521531100478466,0.8010969470810689,0.13668449197860966,0.8446767136606709,1.2846856156097584,google--gemma-2-27b,79858,33971,113829,0.8038812604872221,0.03964670468948028,0.9518217259469607,0.30086880498333424,0.20947006395181955,0.5291399417151407,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-google--gemma-2-27b_task-ACSPublicCoverage/google--gemma-2-27b_bench-4207943925/ACSPublicCoverage_full_seed-42_hash-3076626711.test_predictions.csv,0.5063401845700096,0.5,0.1989030529189311,0.13668449197860966,0.4674999999999999,0.8104265402843602,0.12070938215102966,0.8630759247242051,20,False,600,False,3076626711,ACSPublicCoverage_full_seed-42_hash-3076626711,False,full,,429891620,gemma-2-27b,,False,42,1163226111,ACSPublicCoverage,gemma-2-27b,Gemma 2 27B,False,-1,True,0.8175884575747165,0.5234079188958877,0.6792622582096266,0.45381229739345863,0.23811872818750224,0.7099309614834637
Meta-Llama-3-70B__ACSIncome__-1,0.6970982276960048,0.09882371348295094,0.8738919594283517,0.7429974419593421,0.0590804422613751,0.9248450743204882,0.20038147290113287,0.1978128942477408,0.2022710421595475,0.3138924159726067,0.12038044256147483,0.08330475397253115,0.2994119481228137,0.12038044256147483,0.4307003621087847,0.3138924159726067,0.37628565140382003,0.5885502365150352,meta-llama--Meta-Llama-3-70B,105217,61233,166450,0.6094863322319015,0.43382102537860734,0.3865840213619604,0.553302644678607,0.19876551384198865,0.6724615332392577,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-meta-llama--Meta-Llama-3-70B_task-ACSIncome/meta-llama--Meta-Llama-3-70B_bench-1117669589/ACSIncome_full_seed-42_hash-792730230.test_predictions.csv,0.8567739163093401,0.5,0.5692996378912153,0.31389241597260675,0.6127793438936743,0.9166952460274689,0.2994119481228137,0.687795126585333,20,False,600,False,792730230,ACSIncome_full_seed-42_hash-792730230,False,full,,864538563,Meta-Llama-3-70B,,False,42,2612382143,ACSIncome,Meta-Llama-3-70B,Llama 3 70B,False,-1,True,0.5622041920216363,0.7795734454791229,0.5620127569099929,0.7704415740462601,0.13824083396519193,0.536005107932037
Mistral-7B-v0.1__ACSEmployment__-1,0.4534456492517251,0.2620419879334619,0.47340830073880924,0.5,0.0,1.0,0.30098244729748147,0.26284900418482327,0.27344203980544557,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8025787834843234,mistralai--Mistral-7B-v0.1,176871,146740,323611,1.0,0.0,1.0,0.4534456492517251,0.2620419879334619,0.47340830073880924,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-mistralai--Mistral-7B-v0.1_task-ACSEmployment/mistralai--Mistral-7B-v0.1_bench-1123574327/ACSEmployment_full_seed-42_hash-1409875427.test_predictions.csv,0.7583255645074349,0.5,0.0,0.0,0.0,1.0,0.0,1.0,20,False,600,False,1409875427,ACSEmployment_full_seed-42_hash-1409875427,False,full,,2979089325,Mistral-7B-v0.1,,False,42,1212564561,ACSEmployment,Mistral-7B-v0.1,Mistral 7B,False,-1,True,0.7311439913388669,0.6878814378992062,0.7185777777777778,0.6801097614110769,0.039720302186701056,0.7162151989534351
gemma-2-27b__ACSTravelTime__-1,0.4904101182967988,0.09542857142857147,0.8178844056706651,0.5018104461229198,0.12093875821148548,0.8006503985524964,0.32080004706026455,0.23012164191887835,0.23050105138635152,0.27179487179487183,0.38011695906432746,0.4057867309636774,0.27179487179487183,0.38011695906432746,0.5905923767904832,0.06827716045593146,0.8946911592967837,0.9056030565118373,google--gemma-2-27b,82380,64285,146665,0.5921794565847339,0.06396267049533388,0.900502512562814,0.43981716022659234,0.37017336485421587,0.27283281733746134,/lustre/fast/fast/groups/sf/folktexts-results/2024-06-30/model-google--gemma-2-27b_task-ACSTravelTime/google--gemma-2-27b_bench-1588104650/ACSTravelTime_full_seed-42_hash-3319501691.test_predictions.csv,0.5022832616189329,0.5,0.40940762320951685,0.06827716045593135,0.8374064959430815,0.5942132690363227,0.27179487179487183,0.6738461538461539,20,False,600,False,3319501691,ACSTravelTime_full_seed-42_hash-3319501691,False,full,,2257656266,gemma-2-27b,,False,42,233993660,ACSTravelTime,gemma-2-27b,Gemma 2 27B,False,-1,True,0.2451174017994294,0.45905294378345207,0.3775839793281654,0.4780622507073944,0.25261481800166274,0.5470950868664993
