,accuracy,accuracy_diff,accuracy_ratio,balanced_accuracy,balanced_accuracy_diff,balanced_accuracy_ratio,brier_score_loss,ece,ece_quantile,equalized_odds_diff,equalized_odds_ratio,fnr,fnr_diff,fnr_ratio,fpr,fpr_diff,fpr_ratio,log_loss,model_name,n_negatives,n_positives,n_samples,ppr,ppr_diff,ppr_ratio,precision,precision_diff,precision_ratio,predictions_path,roc_auc,threshold,tnr,tnr_diff,tnr_ratio,tpr,tpr_diff,tpr_ratio,config_batch_size,config_context_size,config_correct_order_bias,config_dataset_hash,config_dataset_name,config_dataset_subsampling,config_feature_subset,config_few_shot,config_model_hash,config_model_name,config_numeric_risk_prompting,config_population_filter,config_reuse_few_shot_examples,config_seed,config_task_hash,config_task_name,base_name,name,is_inst,num_features,uses_all_features,fit_thresh_on_100,fit_thresh_accuracy,optimal_thresh,optimal_thresh_accuracy,score_stdev,score_mean
Mixtral-8x7B-Instruct-v0.1__ACSEmployment__-1__Num,0.780631684337059,0.07536949949613714,0.9055611090650811,0.7875596337457083,0.1169239061382169,0.8546427074002158,0.14918179913538168,0.07485802398544981,,0.37282403899151517,0.18356254752491,0.13803325609922312,0.37282403899151506,0.18356254752491,0.2868474764093605,0.2130945067177956,0.4376565699755822,0.45270474478510586,mistralai--Mixtral-8x7B-Instruct-v0.1,176871,146740,323611,0.5476328060541823,0.33623552173371646,0.4797364250446605,0.7137174133844939,0.1773406829514994,0.7554885793584794,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-28_2/model-mistralai--Mixtral-8x7B-Instruct-v0.1_task-ACSEmployment/mistralai--Mixtral-8x7B-Instruct-v0.1_bench-403537316/ACSEmployment_full_seed-42_hash-2438922321.test_predictions.csv,0.8720801266305926,0.5,0.7131525235906395,0.2130945067177955,0.7445382783639026,0.8619667439007769,0.37282403899151517,0.5930653297038244,20,600,False,2438922321,ACSEmployment_full_seed-42_hash-2438922321,,full,,384626946,Mixtral-8x7B-Instruct-v0.1,True,,False,42,1654031068,ACSEmployment,Mixtral-8x7B-v0.1,Mixtral 8x7B (it),True,-1,True,0.55,0.7844232736217248,0.55,0.7844232736217248,0.2671691858136843,0.45190318005259417
Mixtral-8x7B-Instruct-v0.1__ACSEmployment__-1__QA,0.7272527818893672,0.0685696724927718,0.9122863789338185,0.7408583326277209,0.08498405595114278,0.8944422829947624,0.23669803186349564,0.22023792506456433,0.217167096612307,0.21353017672187916,0.3385860673383277,0.1130162191631457,0.15946602445657815,0.3385860673383277,0.40526711558141243,0.21353017672187916,0.5391495618987493,1.408332966776268,mistralai--Mixtral-8x7B-Instruct-v0.1,176871,146740,323611,0.6236994416135422,0.23480593793721344,0.6580806506552183,0.6448601835153293,0.18231761838650556,0.7241962115181895,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-28_2/model-mistralai--Mixtral-8x7B-Instruct-v0.1_task-ACSEmployment/mistralai--Mixtral-8x7B-Instruct-v0.1_bench-1262149377/ACSEmployment_full_seed-42_hash-1059916037.test_predictions.csv,0.8246910966753478,0.5,0.5947328844185875,0.21353017672187913,0.7153654906309044,0.8869837808368543,0.1594660244565782,0.8263592178139482,20,600,False,1059916037,ACSEmployment_full_seed-42_hash-1059916037,,full,,1736645907,Mixtral-8x7B-Instruct-v0.1,False,,False,42,2214502198,ACSEmployment,Mixtral-8x7B-v0.1,Mixtral 8x7B (it),True,-1,True,0.9324538258575198,0.7517018889963567,0.9046811647622558,0.7508922749844721,0.4396876505654001,0.6196597873775044
gemma-1.1-7b-it__ACSMobility__-1__QA,0.7288304828163752,0.14972419227738376,0.8242368177613321,0.5067144913480987,0.04282238685328482,0.9205486831930044,0.2572963497950774,0.25197640019703704,0.2376591629887308,0.15099223468507333,0.0,0.9655843366168065,0.1509922346850734,0.8490077653149266,0.020986680686996145,0.07303938067990576,0.0,2.0400439616076183,google--gemma-1.1-7b-it,45648,16446,62094,0.02454343414822688,0.09491525423728814,0.0,0.37139107611548555,1.0,0.0,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-28_2/model-google--gemma-1.1-7b-it_task-ACSMobility/google--gemma-1.1-7b-it_bench-2339366171/ACSMobility_full_seed-42_hash-1600556545.test_predictions.csv,0.5827796074175607,0.5,0.9790133193130038,0.07303938067990579,0.9269606193200942,0.03441566338319348,0.15099223468507333,0.0,20,600,False,1600556545,ACSMobility_full_seed-42_hash-1600556545,,full,,830507860,gemma-1.1-7b-it,False,,False,42,3534097513,ACSMobility,gemma-7b,Gemma 7B (it),True,-1,True,0.0024734068719983,0.6789383837407801,0.0009114474797179,0.6409475955808935,0.11203588109454822,0.02719734488642618
gemma-1.1-7b-it__ACSMobility__-1__Num,0.7295551905176023,0.1536517681348154,0.8196261852330428,0.5055736652010794,0.030198019801980225,0.9430438842203548,0.2578461944793378,0.24894096047927503,,0.1,0.0,0.9706919615712027,0.09999999999999998,0.9,0.018160708026638626,0.04846852911477617,0.0,7.509591977794703,google--gemma-1.1-7b-it,45648,16446,62094,0.021113151029084936,0.05673758865248227,0.0,0.36765827612509533,0.5,0.0,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-28_2/model-google--gemma-1.1-7b-it_task-ACSMobility/google--gemma-1.1-7b-it_bench-3001951794/ACSMobility_full_seed-42_hash-3130101066.test_predictions.csv,0.48680417462748327,0.5,0.9818392919733614,0.04846852911477617,0.9515314708852238,0.029308038428797277,0.1,0.0,20,600,False,3130101066,ACSMobility_full_seed-42_hash-3130101066,,full,,975373525,gemma-1.1-7b-it,True,,False,42,748098781,ACSMobility,gemma-7b,Gemma 7B (it),True,-1,True,0.55,0.7299900151383386,0.25,0.7293458305150257,0.07889439613740724,0.023160691854285445
gemma-2b__ACSMobility__-1__Num,0.735143492124843,0.14569864967520896,0.8289624547291026,0.5,0.0,1.0,0.264856507875157,0.2648565078751568,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.546396167704136,google--gemma-2b,45648,16446,62094,0.0,0.0,0.0,0.0,0.0,0.0,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-28_2/model-google--gemma-2b_task-ACSMobility/google--gemma-2b_bench-997625952/ACSMobility_full_seed-42_hash-3130101066.test_predictions.csv,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,20,600,False,3130101066,ACSMobility_full_seed-42_hash-3130101066,,full,,2054542638,gemma-2b,True,,False,42,748098781,ACSMobility,gemma-2b,Gemma 2B,False,-1,True,inf,0.735143492124843,inf,0.735143492124843,0.0,0.0
gemma-2b__ACSMobility__-1__QA,0.33587786259541985,0.14143163450437074,0.6881251136570286,0.50425209825407,0.21118704261730525,0.6814883947411134,0.2574070590082957,0.2502364206477141,0.2502364206477248,0.2857142857142857,0.0,0.13772345859175483,0.2857142857142857,0.0,0.8537723449001051,0.24051789794364054,0.7239510489510489,0.7079812403493547,google--gemma-2b,45648,16446,62094,0.8560247366895353,0.21748826838816726,0.7496252769011191,0.26679083417993,0.10555567852062919,0.6370522284931486,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-28_2/model-google--gemma-2b_task-ACSMobility/google--gemma-2b_bench-2014613716/ACSMobility_full_seed-42_hash-1600556545.test_predictions.csv,0.5104389310847866,0.5,0.14622765509989485,0.24051789794364054,0.3485973597359736,0.8622765414082452,0.2857142857142857,0.7142857142857143,20,600,False,1600556545,ACSMobility_full_seed-42_hash-1600556545,,full,,397592249,gemma-2b,False,,False,42,3534097513,ACSMobility,gemma-2b,Gemma 2B,False,-1,True,0.5156188216686437,0.48098044899668246,0.5311149524632671,0.5877701549264019,0.018579936760758312,0.515092928522884
penai/gpt-4o-mini__ACSEmployment__-1__Num,0.7289329748771669,0.17599960049272556,0.7730531467330644,0.7105647801605062,0.19554791112511694,0.7345711422359285,0.22515760560149564,0.23103944562899928,,0.4112773526974999,0.0,0.5007445512386625,0.41127735269749993,0.5143336042990022,0.07812588844032524,0.11764705882352941,0.0,4.563317521110931,openai/gpt-4o-mini,17587,14774,32361,0.2703871944624703,0.24946915182257873,0.19705742762221168,0.8429714285714286,0.6666666666666667,0.3333333333333333,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-28_2/model-gpt-4o-mini_task-ACSEmployment/openai/gpt-4o-mini_bench-3073602622/ACSEmployment_subsampled-0.1_seed-42_hash-2041580619.test_predictions.csv,0.7973278393687807,0.5,0.9218741115596748,0.11764705882352944,0.8823529411764706,0.4992554487613375,0.4112773526974999,0.27136150234741785,20,600,False,2041580619,ACSEmployment_subsampled-0.1_seed-42_hash-2041580619,,full,,337049856,penai/gpt-4o-mini,True,,False,42,1654031068,ACSEmployment,penai/gpt-4o-mini,GPT 4o mini (it),True,-1,True,0.1,0.7736472914928463,0.15,0.7754704737183648,0.2836028701809755,0.22549774419826332
penai/gpt-4o-mini__ACSEmployment__-1__QA,0.6512159698402398,0.1826340722381019,0.7762732615083252,0.6652194325360112,0.18452325965028038,0.7772995142151788,0.2900071548985388,0.2775414998188674,0.27793897501131726,0.346189376443418,0.36617336152219876,0.17368349803709218,0.24270623742454728,0.370515329419439,0.4958776368908853,0.346189376443418,0.36617336152219876,1.4656717434359123,openai/gpt-4o-mini,17587,14774,32361,0.646735267760576,0.3032270921004818,0.5611651144248223,0.5833054613216112,0.275,0.5925925925925926,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-28_2/model-gpt-4o-mini_task-ACSEmployment/openai/gpt-4o-mini_bench-736777210/ACSEmployment_subsampled-0.1_seed-42_hash-2052503925.test_predictions.csv,0.788503471446048,0.5,0.5041223631091147,0.3461893764434181,0.5672632794457274,0.8263165019629078,0.24270623742454722,0.7168427230046949,20,600,False,2052503925,ACSEmployment_subsampled-0.1_seed-42_hash-2052503925,,full,,1682932126,penai/gpt-4o-mini,False,,False,42,2214502198,ACSEmployment,penai/gpt-4o-mini,GPT 4o mini (it),True,-1,True,0.9706877688503012,0.7389759278143444,0.9933071468486158,0.751954513148543,0.41482277832792236,0.6434003295820019
gemma-2-27b-it__ACSMobility__-1__Num,0.5801365671401424,0.2131782945736434,0.6802325581395349,0.4971873943823798,0.21396121993948086,0.6082700052849306,0.24844736528489067,0.21569990659322943,,0.27976190476190477,0.656055900621118,0.6791925088167335,0.27976190476190477,0.6907894736842105,0.32643270241850686,0.1481605351170569,0.656055900621118,4.051422783615163,google--gemma-2-27b-it,45648,16446,62094,0.324942828614681,0.07247724912019599,0.8034640770168578,0.2614858502255043,0.20606060606060606,0.24444444444444446,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-28_2/model-google--gemma-2-27b-it_task-ACSMobility/google--gemma-2-27b-it_bench-2507996604/ACSMobility_full_seed-42_hash-3130101066.test_predictions.csv,0.49469045610784795,0.5,0.6735672975814931,0.14816053511705685,0.7934731934731934,0.32080749118326646,0.27976190476190477,0.25396825396825395,20,600,False,3130101066,ACSMobility_full_seed-42_hash-3130101066,,full,,375630860,gemma-2-27b-it,True,,False,42,748098781,ACSMobility,gemma-2-27b,Gemma 2 27B (it),True,-1,True,0.5,0.5801365671401424,0.56,0.7340644828807936,0.22139874122774028,0.20716091731890357
gemma-2-27b-it__ACSMobility__-1__QA,0.4432151254549554,0.11947506317535617,0.7465133872771529,0.510156834533386,0.12619792192071017,0.7659713777944065,0.4035156614557309,0.39469279439963667,0.3943959738629059,0.19565217391304346,0.6086956521739131,0.34750091207588474,0.19565217391304346,0.6086956521739131,0.6321854188573431,0.09965561773568665,0.8521239220696263,1.2770313728806362,google--gemma-2-27b-it,45648,16446,62094,0.6375656263085,0.07368006304176511,0.8863221884498481,0.27106014296900655,0.19450774174700558,0.3701040681173131,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-28_2/model-google--gemma-2-27b-it_task-ACSMobility/google--gemma-2-27b-it_bench-2011881006/ACSMobility_full_seed-42_hash-1600556545.test_predictions.csv,0.5152556446990116,0.5,0.36781458114265686,0.0996556177356866,0.7659251769464105,0.6524990879241153,0.19565217391304346,0.71875,20,600,False,1600556545,ACSMobility_full_seed-42_hash-1600556545,,full,,687291711,gemma-2-27b-it,False,,False,42,3534097513,ACSMobility,gemma-2-27b,Gemma 2 27B (it),True,-1,True,0.8267370272647317,0.5777530840338841,0.6075905292479109,0.48133475053950464,0.32657452776709367,0.5943430610309258
gemma-1.1-7b-it__ACSEmployment__-1__QA,0.5757777084215308,0.12202549304346666,0.8004011578074723,0.5735657642939922,0.11670763415020041,0.8022043894618579,0.37995601786662286,0.35969168283680775,0.3579555950204255,0.34002075406433757,0.5371939736346516,0.45019081368406705,0.3400207540643376,0.5371939736346516,0.4026776577279486,0.21399617167283463,0.557209689620434,2.88319218235058,google--gemma-1.1-7b-it,176871,146740,323611,0.46939380923392593,0.2585966980626432,0.514480033336873,0.5311288273283257,0.3524351758811718,0.37682747853239656,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-28_2/model-google--gemma-1.1-7b-it_task-ACSEmployment/google--gemma-1.1-7b-it_bench-627493842/ACSEmployment_full_seed-42_hash-1059916037.test_predictions.csv,0.5894159364999063,0.5,0.5973223422720514,0.2139961716728347,0.7071378234859408,0.5498091863159329,0.34002075406433757,0.43828571428571433,20,600,False,1059916037,ACSEmployment_full_seed-42_hash-1059916037,,full,,3499994741,gemma-1.1-7b-it,False,,False,42,2214502198,ACSEmployment,gemma-7b,Gemma 7B (it),True,-1,True,0.0179901871706342,0.5944050109545101,0.0179785681227526,0.5935892166829928,0.43744565526848544,0.443875241149252
gemma-1.1-7b-it__ACSEmployment__-1__Num,0.6034529110567936,0.13834912477918737,0.7832704402515723,0.6336670449821817,0.09414676034503777,0.8636517029019837,0.2170617451199125,0.03613684330859177,,0.19063820207906979,0.2748038818123179,0.04182908545727136,0.0943625598701133,0.2748038818123179,0.690836824578365,0.19063820207906979,0.7493275120281822,1.236514674384686,google--gemma-1.1-7b-it,176871,146740,323611,0.812058304569375,0.15781226486963174,0.8157235719943179,0.5350335437667195,0.2384294960282809,0.5695175205373024,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-28_2/model-google--gemma-1.1-7b-it_task-ACSEmployment/google--gemma-1.1-7b-it_bench-4205664007/ACSEmployment_full_seed-42_hash-2438922321.test_predictions.csv,0.7124632113011212,0.5,0.30916317542163496,0.19063820207906976,0.5567904932378477,0.9581709145427286,0.09436255987011333,0.902138145186474,20,600,False,2438922321,ACSEmployment_full_seed-42_hash-2438922321,,full,,492484448,gemma-1.1-7b-it,True,,False,42,1654031068,ACSEmployment,gemma-7b,Gemma 7B (it),True,-1,True,0.53,0.6573694960925308,0.5,0.6034529110567936,0.2027764441518224,0.4173258016569276
gemma-2b__ACSIncome__-1__Num,0.6321237608891559,0.26881686356998147,0.672695353757655,0.5,0.0,1.0,0.3678762391108441,0.3678762391108439,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13.259603652603246,google--gemma-2b,105217,61233,166450,0.0,0.0,0.0,0.0,0.0,0.0,/lustre/fast/fast/groups/sf/folktexts-results/2024-08-28_2/model-google--gemma-2b_task-ACSIncome/google--gemma-2b_bench-3108111804/ACSIncome_full_seed-42_hash-1634456007.test_predictions.csv,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,20,600,False,1634456007,ACSIncome_full_seed-42_hash-1634456007,,full,,3246957386,gemma-2b,True,,False,42,127998692,ACSIncome,gemma-2b,Gemma 2B,False,-1,True,inf,0.6321237608891559,inf,0.6321237608891559,0.0,0.0
